2025-12-08 00:07:21,182 [TB-Scheduling-10] INFO  o.t.s.dao.aspect.SqlDaoCallsAspect - [5489b160-ccf1-11f0-81f3-0bf1425738f5]: calls: 1, failures: 0, exec time: 6 
2025-12-08 00:07:21,182 [TB-Scheduling-10] INFO  o.t.s.dao.aspect.SqlDaoCallsAspect - [5489b160-ccf1-11f0-81f3-0bf1425738f5] Top 3 methods by timing:
2025-12-08 00:07:21,182 [TB-Scheduling-10] INFO  o.t.s.dao.aspect.SqlDaoCallsAspect - [5489b160-ccf1-11f0-81f3-0bf1425738f5]: method: JpaAttributeDao.save(..), calls: 1, failures: 0, exec time: 6
2025-12-08 00:07:21,186 [TB-Scheduling-7] INFO  o.t.s.s.queue.TbCoreConsumerStats - Core Stats: totalMsgs = [1] sessionEvents = [0] getAttr = [0] subToAttr = [0] subToRpc = [0] toDevRpc = [0] subInfo = [1] claimDevice = [0] deviceState = [0] subMsgs = [0] deviceConnect = [0] deviceActivity = [0] deviceDisconnect = [0] deviceInactivity = [0] deviceInactivityTimeoutUpdate = [0] coreNfOther = [0] coreNfCompLfcl = [0] coreNfDevRpcRsp = [0] coreNfNfRlProc = [0] coreNfQueueUpd = [0] coreNfQueueDel = [0] coreNfSubSvc = [0] coreNfSubMgr = [0] coreNfVCRsp = [0] 
2025-12-08 00:07:21,212 [TB-Scheduling-4] INFO  o.t.s.c.t.s.DefaultTransportService - Transport Stats: openConnections [1]
2025-12-08 00:07:53,595 [sql-log-2-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - Queue-1 [TS] queueSize [0] totalAdded [4] totalSaved [4] totalFailed [0]
2025-12-08 00:07:53,633 [sql-log-2-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - Queue-1 [TS Latest] queueSize [0] totalAdded [4] totalSaved [4] totalFailed [0]
2025-12-08 00:08:02,913 [sql-log-2-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - Queue-0 [Attributes] queueSize [0] totalAdded [1] totalSaved [1] totalFailed [0]
2025-12-08 00:08:03,593 [sql-log-2-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - Queue-1 [TS] queueSize [0] totalAdded [7] totalSaved [7] totalFailed [0]
2025-12-08 00:08:03,631 [sql-log-2-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - Queue-1 [TS Latest] queueSize [0] totalAdded [7] totalSaved [7] totalFailed [0]
